time,centroid_x,centroid_y,spread,polarization,mean_nn_distance,convex_hull_area,elongation_ratio,num_clusters,dog_x,dog_y,dog_vx,dog_vy,dog_speed,dog_mode,dog_submode,in_goal,alert_count,avg_sheep_speed,avg_fear_strength,avg_graze_bias,avg_reaction_delay,success
93.06666666666267,516.6828419269076,292.06996322238876,368.7165704041174,0.2106568925966559,32.678504965139055,135526.7406540701,2.4915433427222675,7,526.5561330691507,660.8556186865762,138.9450476399527,188.31905212561364,234.02946749748912,auto,collect,0,2,34.71203068852038,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.08333333332934,516.7121902907948,291.94312111850445,369.41613584167027,0.19588818109224734,32.59486426989302,135547.1937028905,2.4916840427533726,7,528.9038050289553,663.9672878426674,140.86031758826837,186.70014936546542,233.87726448749765,auto,collect,0,2,34.43535172698783,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.099999999996,516.742498970039,291.81842047230975,370.12710800478993,0.16748755884419023,32.499684701947174,135557.10782658195,2.4922956575223973,7,531.2856503642805,667.0490631192824,142.91072011951158,184.90651659690167,233.69615701820524,auto,collect,0,2,34.225584607130145,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.11666666666267,516.7743893679766,291.6959523016565,370.84966003213134,0.16925442057412857,32.43865192915161,135612.30867258436,2.493284217200616,7,533.7040969789813,670.0975908455284,145.10679688204385,182.91166357475637,233.479461994094,auto,collect,0,2,34.44719103103881,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.13333333332933,516.807258035055,291.57590549172244,371.58402311220436,0.13429739233377883,32.42547695679053,135706.3052315061,2.494727731290445,7,536.1617315553598,673.1090165168247,147.45807458270662,180.68554027777623,233.21909918596066,auto,collect,0,2,34.560515569949104,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.149999999996,516.8409614336563,291.45752111805825,372.3078855839681,0.14615151152489755,32.40300752251744,135787.62890075793,2.496525113084191,7,538.6612724118108,676.0789189314762,149.97245138706444,178.19414487909313,232.90532291950015,auto,collect,0,2,34.75700061758542,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.16666666666266,516.8756713658481,291.342438985184,373.02013433858446,0.14191975602880827,32.36154147049671,135855.6359495847,2.498728525205698,7,541.2055858806915,679.0021542331434,152.6588081328397,175.39411810003378,232.5248553695449,auto,collect,0,2,34.81544834616981,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.18333333332933,516.9111134008269,291.23088068124923,373.7211304051498,0.13677907339908796,32.329062472271325,135910.34650458614,2.501358867394061,7,543.7976295518836,681.8727522678155,155.52262027152165,172.2358820803261,232.06138087175967,auto,collect,0,2,34.92365682445887,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.199999999996,516.9470751368261,291.1222165590058,374.3891539638787,0.1314587271501594,32.2922605071389,135951.872602107,2.5043219941098434,7,546.4403675498252,684.6838067926483,158.5642798764949,168.6632714899672,231.49498915192484,auto,collect,0,2,34.93564963274885,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.21666666666266,516.9832577122871,291.01604234424,375.0253199058514,0.12726487210707693,32.25976793952348,135980.23390922567,2.507587153459455,7,549.1367001664864,687.4272604116197,161.7799569996764,164.60721713828642,230.79924267819447,auto,collect,0,2,35.032163278049175,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.23333333332933,517.0186270002913,290.91261553549293,375.6302039546088,0.13573815131596229,32.2512472874454,135998.8672628785,2.5111488292484396,6,551.8892937373729,690.0937604558884,165.15561425318958,159.99000265612145,229.94168362707555,auto,collect,0,2,34.81693916657534,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.24999999999599,517.0525881926368,290.8109089270635,376.18485115755357,0.15961694946064356,32.313747270019604,136003.25317770004,2.5147435459909038,6,554.7003445695925,692.6725358548448,168.66304993317493,154.72652393738556,228.88320519974158,auto,collect,0,2,34.59959907023426,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.26666666666266,517.0849736481413,290.71140920037595,376.68954829912246,0.1614315723468779,32.401276258658136,135999.4132354394,2.5185482689565375,6,557.5712999682091,695.1511910002466,172.25732391699873,148.71930872410687,227.57420422891087,auto,collect,0,2,34.550444943594634,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.28333333332932,517.1159416163774,290.61402071600463,377.1451126143895,0.15591621679900253,32.50650426426283,135987.3748688165,2.5225633903353217,6,560.5024465045437,697.5156625095477,175.8687921800744,141.86829055806908,225.9567302134347,auto,collect,0,2,34.71620531778441,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.29999999999599,517.1433909967456,290.51868892934004,377.53705480462474,0.15228925798826887,32.599227887980206,135967.93395648213,2.526674485682595,6,563.492414584938,699.7503258309288,179.39808482365953,134.0797992828599,223.9666613898795,auto,collect,0,2,34.93228036736301,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.31666666666266,517.1673676838242,290.42563027744336,377.8659044614779,0.14494267225575122,32.70755445037228,135941.13363245767,2.5308262906177004,6,566.5376386438716,701.8381629595247,182.71344353600958,125.27022771575311,221.53291493758485,auto,collect,0,2,35.285016675360914,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.33333333332932,517.1875236325052,290.33552727967646,378.1318006524796,0.12855109024507166,32.8118789343024,135909.03915272895,2.5350669680841915,6,569.6318194033897,703.7613097599091,185.65084557109085,115.38880802306292,218.58822813281665,auto,collect,0,2,35.72247734445569,1.0123155899731038,1.024259168087828,2.2888888888888888,0
93.34999999999599,517.2021955317394,290.2484160775288,378.32416733625723,0.12006673598264773,32.86863689800249,135869.19035334705,2.5392633182975115,6,572.765551188658,705.5019177920809,188.02390711609536,104.43648193031204,215.08130649868772,auto,collect,0,2,36.069978792352586,1.0123155899731038,1.024259168087828,2.2888888888888888,0
