step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
21,abundant,110.95997397220194,71.39999525996537,16.22217008717439,0.10879697068029695,3.9341091153724053,1792.0505279012104,0.872883292803026,3,10,30,0,0,0,0.2719316276001752,0.8433795433083542,0.0035000000000000005,0.30102233192572847,99.98927724753894,81.53966173251845,0.0003071809190641036,0.0,32.101638189242415,163.52371446399707
22,abundant,110.94800830436775,71.42576549274652,16.44159006709642,0.11229785718477805,3.9266487945893487,1804.7634584741427,0.8719023391095578,3,11,29,0,0,0,0.26987591259673555,0.842860479804498,0.0038500000000000006,0.3009914459127789,99.9890384793925,81.53129545938495,0.0003127950579360318,0.0,32.101638189242415,173.84909767235723
23,abundant,110.9287290768269,71.44938394189396,16.65437011403558,0.09427445347156066,3.9203839340939153,1816.7288710243047,0.8716378391143376,3,11,29,0,0,0,0.27004266385286924,0.8423412328742597,0.0038500000000000006,0.3009605600807744,99.98889213128712,81.52292923526508,0.0003184090018759667,0.0,32.101638189242415,181.91156928760842
24,abundant,110.91083168472178,71.47255295038315,16.86749645482375,0.10501995844928574,3.896262363758172,1826.1852946752115,0.8708424560831883,3,11,29,0,0,0,0.2689234335051255,0.841823217097404,0.0038500000000000006,0.3009296744283514,99.98872190673534,81.51456305978951,0.00032402275089067677,0.0,32.101638189242415,183.67716719837307
25,abundant,110.89809821039066,71.49555627110414,17.077954062736428,0.09510382588496616,3.8896922632589956,1838.806648941998,0.8706514844735628,2,13,27,0,0,0,0.2634148936229138,0.8413308607144188,0.00455,0.30089310716860945,99.98846483400841,81.50465787444737,0.0003306589967489102,0.0,32.101638189242415,191.70891288847028
26,abundant,110.8895870692473,71.5104278367654,17.278572465575017,0.06698968415883005,3.8915763989013095,1850.7586183955864,0.8695036158769263,2,15,25,0,0,0,0.2572582168583627,0.8408648766758745,0.00525,0.30085085832096015,99.98818923226659,81.49321368449684,0.00033831770394792077,0.0,32.101638189242415,184.53132450410072
27,abundant,110.88128531098774,71.53867155155316,17.4779902487867,0.1385277334376033,3.9065977659615805,1864.923972076449,0.8690108498807846,2,15,25,0,0,0,0.25740014461657984,0.8403987365167964,0.00525,0.3008086096933913,99.9879276554556,81.48176955416075,0.0003459761452242147,0.0,32.101638189242415,190.86183104242338
28,abundant,110.86134808504501,71.5600601750832,17.677692515160842,0.11939624333847133,3.9327751699257147,1881.3448503707186,0.8687853210613553,3,14,26,0,0,0,0.2597479560513242,0.8399202137651398,0.0049,0.30076920218732633,99.98770417372495,81.47109501485431,0.0003531229747060353,0.0,32.101638189242415,183.7713345277586
29,abundant,110.84498038785901,71.58380732686476,17.881586647679832,0.11774941961497125,3.9655094023309756,1895.0129521569506,0.8675257546408494,3,13,27,0,0,0,0.2630231573610121,0.8394282882920427,0.00455,0.30073263578805504,99.98752077845714,81.46119006259286,0.00035975821015737263,0.0,32.101638189242415,191.96157099974855
30,abundant,110.83475063722017,71.61122269331989,18.095810519768868,0.13394669229098402,3.976643635692116,1908.87069272824,0.8664972894370371,3,14,26,0,0,0,0.26101671446982355,0.8389483699061259,0.0049,0.3006932286873182,99.98732675468884,81.45051563307997,0.00036690456110357987,0.0,32.101638189242415,181.61780296180288
