step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
23,scarce,104.84637102026291,62.49381029887603,20.640087472745286,0.39311590856063505,4.369074486400042,2125.14165709979,0.7923502693196807,5,0,0,36,4,0,0.7262589705704324,0.826320568644476,0.0,0.051120805938185125,100.0,46.001876947401534,0.0,0.0,24.325666783590812,206.9191215769582
24,scarce,104.58419227005577,62.271210229857545,20.819319687608704,0.3862582681501516,4.333922808269436,2160.969431968151,0.8268343373787186,6,0,0,36,4,0,0.7376915399282457,0.8251791079505548,0.0,0.051120892844987595,100.0,46.00195515188129,0.0,0.0,24.325666783590812,206.4416923250613
25,scarce,104.33108768791624,62.05867968429078,21.006988989728534,0.3757384946387837,4.3281873446417425,2206.6559768314764,0.8630814143666302,5,0,0,37,3,0,0.7464667731583539,0.8240279945000808,0.0,0.05112097975164231,100.0,46.00203335622808,0.0,0.0,24.325666783590812,205.93184894897345
26,scarce,104.08729848583405,61.85659242580583,21.205797579928145,0.3644124084900209,4.376815594234349,2262.6537620052695,0.9011977305821848,5,0,0,37,3,0,0.7534047740655833,0.8228692492486085,0.0,0.051121066658149264,100.0,46.002111560441925,0.0,0.0,24.325666783590812,205.3610989740203
27,scarce,103.85564235828372,61.66732167059415,21.41590370722733,0.3466989918300286,4.425449290783873,2322.815175052565,0.9414990458037346,6,0,0,37,3,0,0.7578662788865937,0.8217055963418332,0.0,0.051121153564508484,100.0,46.00218976452281,0.0,0.0,24.325666783590812,204.87349661113748
28,scarce,103.63636887604494,61.49032895590314,21.637351316091912,0.3282732154715684,4.462400041922741,2385.0829133075567,0.9839490366546584,7,0,0,37,3,0,0.7615235084906772,0.8205379204824934,0.0,0.051121240470719954,100.0,46.00226796847075,0.0,0.0,24.325666783590812,204.31161164298132
29,scarce,103.41693363104942,61.323155515445855,21.85674254599069,0.3099570433553721,4.4901737439919405,2441.196839507742,1.0252162216830558,7,0,0,36,4,0,0.7514744876613857,0.819381298546066,0.0,0.051121327376783654,100.0,46.002346172285705,0.0,0.0,24.325666783590812,211.97643347545463
30,scarce,103.20339329980524,61.16932707424262,22.082732341134328,0.3073190676156047,4.638008084354963,2494.692967390263,1.0499637122277312,6,0,0,36,4,0,0.7502808679938722,0.8182259895912726,0.0,0.05112141428269962,100.0,46.00242437596773,0.0,0.0,24.325666783590812,210.07995829766702
31,scarce,102.99774404917957,61.02734588127804,22.289897840472637,0.2844963771722151,4.775037499975673,2532.360577499516,1.0670294736974966,6,0,0,34,6,0,0.727052946602415,0.81709623135001,0.0,0.05112150118846783,100.0,46.00250257951679,0.0,0.0,24.325666783590812,200.25966995427888
32,scarce,102.80647559858267,60.9003239014332,22.495060610372644,0.2409534842357026,4.976422664659971,2579.4469827621033,1.0730281069728171,6,0,0,34,6,0,0.722179066869782,0.8159718343764533,0.0,0.0511215880940883,100.0,46.0025807829329,0.0,0.0,24.325666783590812,198.7437059042831
33,scarce,102.62907532062998,60.79188684696197,22.705907281060547,0.22336590418653565,5.136009817830052,2622.382393491913,1.0572024195860148,6,0,0,34,6,0,0.7246521674884961,0.814844716992216,0.0,0.05112167499956101,100.0,46.002658986216055,0.0,0.0,24.325666783590812,198.01074924713322
34,scarce,102.45634619601483,60.70473129968296,22.91229483650201,0.2074665883751358,5.294342046862466,2673.5087136892907,1.0332819440673566,5,0,0,34,6,0,0.7147484598578844,0.8137284936863722,0.0,0.05112176190488599,100.0,46.002737189366265,0.0,0.0,24.325666783590812,205.59693829898964
35,scarce,102.30312247209258,60.65169611163391,23.11158124680329,0.22160122469971227,5.475192893636051,2714.6032390770415,1.0125196937456105,5,0,0,33,7,0,0.697480304498128,0.8126312653514244,0.0,0.0511218488100632,100.0,46.00281539238351,0.0,0.0,24.325666783590812,201.28492253634977
36,scarce,102.17047450563817,60.62619989622908,23.313363450120892,0.19149488147139468,5.645539711158177,2765.4826178243457,0.9935807535285303,6,0,0,33,7,0,0.6968790647761421,0.8115346983801708,0.0,0.05112193571509267,100.0,46.0028935952678,0.0,0.0,24.325666783590812,197.9452564537162
37,scarce,102.04766775364544,60.63139667393567,23.513176653821006,0.15815115850807782,5.735673897939347,2815.295303424944,0.9753656326563905,8,0,0,33,7,0,0.6921359536937558,0.8104433488311074,0.0,0.0511220226199744,100.0,46.002971798019146,0.0,0.0,24.325666783590812,195.99791164333163
38,scarce,101.9387709673342,60.66226970737783,23.719597104857264,0.15396857606367878,5.635946141201532,2871.420342718644,0.9665391063569052,9,0,0,33,7,0,0.6947619970195914,0.809349110634386,0.0,0.05112210952470838,100.0,46.00305000063754,0.0,0.0,24.325666783590812,187.17654527425557
39,scarce,101.86611856637111,60.70818874374081,23.91447312592668,0.15953244699715535,5.4111424888808335,2912.9143844702776,0.9609287546531436,8,0,0,31,9,0,0.6774569285328188,0.8082739080129999,0.0,0.051122196429294615,100.0,46.003128203122984,0.0,0.0,24.325666783590812,186.15002419189472
40,scarce,101.80102564845805,60.763777358322685,24.083366063104044,0.1503741291035317,5.204982879425434,2926.6694517821525,0.9533015240730643,8,0,0,29,11,0,0.6488187430642445,0.807230207395629,0.0,0.0511222833337331,100.0,46.003206405475474,0.0,0.0,24.325666783590812,192.6255635547915
41,scarce,101.75235632808733,60.81840952315821,24.234541793713564,0.12607430774665412,5.0849958229391685,2919.646964960244,0.9454635520141995,9,0,0,28,12,0,0.6368294657384979,0.8061996949833168,0.0,0.05112237023802384,100.0,46.00328460769501,0.0,0.0,24.325666783590812,188.46700031991492
42,scarce,101.71858514118158,60.87344639598395,24.38288577458759,0.11208625142880181,5.093968915797694,2906.1496901699284,0.9488434995101307,10,0,0,28,12,0,0.6454530545999958,0.8051596966232568,0.0,0.05112245714216683,100.0,46.003362809781585,0.0,0.0,24.325666783590812,187.23965297333126
43,scarce,101.6914439534288,60.921623052795816,24.523048732562305,0.0888245330173513,5.144698056747837,2894.465185277819,0.9518985093157816,10,0,0,27,13,0,0.6434657109779643,0.804121884341181,0.0,0.05112254404616207,100.0,46.00344101173521,0.0,0.0,24.325666783590812,185.62822523818363
44,scarce,101.67239114883134,60.97202815461088,24.663833390574105,0.06537700074584094,5.076181217594977,2886.1558161519933,0.9549636792296741,9,0,0,27,13,0,0.646626124968439,0.8030805956037156,0.0,0.05112263095000958,100.0,46.0035192135559,0.0,0.0,24.325666783590812,201.37844429773094
45,scarce,101.659049309565,61.02630372580048,24.809760957952513,0.061699454750116574,4.9845671891992405,2889.1554080817878,0.9584986206748475,9,0,0,28,12,0,0.6538200057567831,0.8020313935973832,0.0,0.05112271785370934,100.0,46.00359741524363,0.0,0.0,24.325666783590812,200.25730306354063
46,scarce,101.64717669063674,61.095101172413685,24.958902780388335,0.07633040563871732,4.82575422283061,2888.912231305687,0.9665045728209306,7,0,0,27,13,0,0.6486735760733268,0.8009878526637026,0.0,0.051122804757261345,100.0,46.003675616798404,0.0,0.0,24.325666783590812,200.33521094240842
47,scarce,101.66293492069535,61.16020261666114,25.079376246545394,0.10337118088022429,4.747735105469031,2872.069496247699,0.9710860813716938,8,0,0,26,14,0,0.6179648257720268,0.7999780913553535,0.0,0.051122891660665616,100.0,46.00375381822024,0.0,0.0,24.325666783590812,191.19221285294225
48,scarce,101.68583125384824,61.236411876280975,25.176414109517793,0.13684918752094707,4.65167033970466,2841.5816829945907,0.9740499948047584,10,0,0,25,15,0,0.6017218279077234,0.7989861973446548,0.0,0.05112297856392214,100.0,46.00383201950912,0.0,0.0,24.325666783590812,189.7309955862441
49,scarce,101.71377864515011,61.32099897868308,25.26577647982658,0.14443575669051847,4.496513290531938,2812.8045149079553,0.9760019698549879,10,0,0,25,15,0,0.608069275762318,0.7979873211413163,0.0,0.05112306546703092,100.0,46.00391022066505,0.0,0.0,24.325666783590812,189.50991770393503
50,scarce,101.75950531289388,61.41612949299762,25.339347769382716,0.15417943943160428,4.378019602601678,2779.7177531939087,0.9859775144780001,10,0,0,25,15,0,0.6073553034837064,0.7969892303074844,0.0,0.05112315236999196,100.0,46.00398842168803,0.0,0.0,24.325666783590812,189.28933435866992
