step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
1770,scarce,143.99222010970672,76.02235262746531,11.198192189950113,0.7744990006353821,2.6405321266274417,826.0512429851733,1.1408661072968989,2,5,0,31,0,1.1022838778703348,0.0,0.0,0.05094607346504611,99.92781623846105,45.844641129606025,8.926222218144048e-05,0.060876623376623376,24.325666783590812,247.88616164997535
1771,scarce,143.6793914690453,75.21145947895917,11.122135992139638,0.7637625309470166,2.6613080209782076,820.4825667212936,1.092619802294729,2,5,0,31,0,1.0997786726316217,0.0,0.0,0.05094616039823022,99.92781652819043,45.84471935782572,8.926082747011512e-05,0.060876623376623376,24.325666783590812,245.6003649698518
1772,scarce,143.32830508938753,74.42303569790906,11.039869460116355,0.7556625285035322,2.603559326095986,812.8904278208865,1.0430220559859296,2,5,0,31,0,1.099545175932565,0.0,0.0,0.050946247331268596,99.92781681791988,45.84479758591428,8.925943278058194e-05,0.060876623376623376,24.325666783590812,243.02492269664248
1773,scarce,142.93889174790323,73.6577056283623,10.952847556477177,0.748308396235476,2.5280064813871546,804.8296869264959,0.9917268382950735,2,4,0,32,0,1.1009114035167262,0.0,0.0,0.050946334264161244,99.92781710764943,45.8448758138717,8.92580381128406e-05,0.060876623376623376,24.325666783590812,250.36034824593727
1774,scarce,142.50811229613498,72.91389696595618,10.865551896588212,0.7481542911485395,2.5089590588582364,796.4957353535356,0.9580968862181144,2,4,0,32,0,1.102758802461753,0.0,0.0,0.050946421196908176,99.92781739737909,45.844954041698,8.925664346689081e-05,0.060876623376623376,24.325666783590812,247.29894066716122
1775,scarce,142.03739860355407,72.19117651025545,10.779308445044219,0.75161502280897,2.5139229644590237,794.5992562115425,0.9593897254456489,2,4,0,32,0,1.1041859001525345,0.0,0.0,0.05094650812950938,99.92781768710884,45.84503226939315,8.925524884273219e-05,0.060876623376623376,24.325666783590812,243.99466104777179
1776,scarce,141.52992577305858,71.49474883892864,10.697289258787551,0.7494769302843444,2.510701207142954,795.8085887992129,0.9610305901908666,2,4,0,32,0,1.105051786693342,0.0,0.0,0.05094659506196486,99.92781797683868,45.84511049695719,8.925385424036438e-05,0.060876623376623376,24.325666783590812,241.0704194091028
1777,scarce,140.98273210797342,70.82417708647617,10.622653448524076,0.7528647393682022,2.471650607326625,798.9567564878525,0.9627741451846689,2,4,0,32,0,1.106011383911394,0.0,0.0,0.05094668199427461,99.92781826656862,45.84518872439007,8.925245965978706e-05,0.060876623376623376,24.325666783590812,237.80341874396578
1778,scarce,140.40062576000014,70.18205861232032,10.554821545518926,0.7523407318289874,2.4552881968467024,815.9403003658517,0.9616070578741106,3,4,0,32,0,1.1078635097701548,0.0,0.0,0.05094676892643863,99.92781855629866,45.84526695169183,8.92510651009999e-05,0.060876623376623376,24.325666783590812,234.78261055069936
1779,scarce,139.78315417313195,69.56880734032588,10.493212270888202,0.7557035372714548,2.5291309267226048,836.0098991310551,0.9575729609612541,2,4,0,32,0,1.108717574826115,0.0,0.0,0.05094685585845693,99.9278188460288,45.84534517886246,8.924967056400254e-05,0.060876623376623376,24.325666783590812,231.4719710592502
