step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
27,abundant,111.3477122330748,72.64097165553623,18.77061440604303,0.2579213083798573,4.772040991977738,2262.2999962956383,1.0634325058044736,9,0,17,23,0,0.48135747992712,0.8354281685772303,0.00481934605133948,0.30123558293866376,99.9874138508784,81.59742626894875,0.00026918864016488997,0.0,32.101638189242415,132.4808753638018
28,abundant,111.35174932229056,72.71291757911564,19.151289020245162,0.25881227154639547,4.840127613508618,2339.463259586366,1.061453318510805,9,0,16,24,0,0.4897884228907243,0.8346868055429312,0.004550151102891345,0.301199013859191,99.98690783547724,81.58752059068561,0.00027582701071179286,0.0,32.101638189242415,141.8628659084414
29,abundant,111.35592046847853,72.7845604456429,19.54600140603248,0.25981964819371894,4.949812349508177,2420.4653696777386,1.059534348376485,9,0,16,24,0,0.49771609989693777,0.833956319252868,0.005250050707972839,0.3011567639935465,99.9864946517134,81.57607612498482,0.00028348769584990576,0.0,32.101638189242415,141.5787669363591
30,abundant,111.35754272801857,72.85677319551206,19.95047083241166,0.2593866523529387,5.050343775017678,2503.4760429490634,1.05767859652207,9,0,16,24,0,0.5052374509259375,0.8332175594701434,0.0052500504747866805,0.3011145143448069,99.98603611202668,81.56463171803831,0.00029114811465594264,0.0,32.101638189242415,133.08407215093422
31,abundant,111.35554402263479,72.92301697099592,20.368770034062983,0.22020677588688575,5.112088837213437,2589.2757522101456,1.0558867697718013,9,0,16,24,0,0.5121998896088945,0.8324711409983383,0.0052500502415999874,0.301072264918995,99.98556568963593,81.55318737147753,0.0002988082671391502,0.0,32.101638189242415,143.12928798200585
32,abundant,111.35692992654542,72.98800165186913,20.797813389024913,0.22752042707864475,5.084195563164765,2677.5190521017794,1.0541681655751198,9,0,16,24,0,0.5188034611647567,0.8317077558870258,0.0049035248560234035,0.30103282840764617,99.98505295482299,81.54250497534191,0.0003059618841392498,0.0,32.101638189242415,140.36117115107282
33,abundant,111.35537955576635,73.05376057053594,21.23941456187682,0.22727770918437384,5.050170379522338,2772.151977878726,1.0525322832626076,10,0,16,24,0,0.5253425272449421,0.8309370814116324,0.004900082306285451,0.3009934200380563,99.98453058592514,81.53183020212748,0.0003131102232295293,0.0,32.101638189242415,142.75750569870948
34,abundant,111.35308744146025,73.13636359983731,21.674611438980218,0.24566965890719428,5.049347211504227,2867.8301221483707,1.0603879813824821,10,1,16,23,0,0.5167880378904787,0.8301758168639946,0.004900081930059819,0.3009540118752211,99.98400127306545,81.52115548491787,0.0003202583135682383,0.0,32.101638189242415,141.52306000313905
35,abundant,111.34881598770923,73.22152751202476,22.11374490941143,0.2534510140687684,5.124769562948006,2971.3618556722213,1.0723029050320347,9,1,16,23,0,0.5197660661093276,0.8294210750941339,0.005250032244985515,0.30091176343070586,99.9835545702613,81.5097114041666,0.0003279174290053562,0.0,32.101638189242415,143.3692576341445
36,abundant,111.40037973988521,73.30110838837845,22.489209846534344,0.2800678598369316,5.211228257087373,3060.397853147435,1.0859490654592618,9,2,20,18,0,0.4610389717673882,0.8287701331240441,0.006650032101947645,0.3008581516570034,99.9831104471216,81.49518927265359,0.0003376216618205666,0.0,32.101638189242415,152.08563012321207
